Description,Designator,Footprint,K3 No.,Value,Quantity
"RES,GEN,10K,1%,100mW,0603","R48","RESC-0603","1.1.1.01.01.221-GJ","10K","1"
"RES,GEN,60.4R,1%,250mW,1206","R50, R52","RESC-1206","1.1.1.01.01.089","60.4R","2"
"RES,GEN,1K,5%,100mW,0603","R54","RESC-0603","1.1.1.01.01.064-GJ","1K","1"
"RES,GEN,2.2K,5%,250mW,1206","R55, R58, R65, R79, R91, R93, R95","RESC-1206","1.1.1.01.01.151","2.2K","7"
"RES,GEN,107K,1%,,0402","R59","RESC-0402","1.1.1.01.01.386","107K","1"
"RES,GEN,10k,1%,62.5mW,0402","R60, R61, R101, R134, R135, R136, R140, R141, R142, R283, R284, R288","RESC-0402","1.1.1.01.01.392","NC, 10K, DNP","12"
"RES,GEN,100R,1%,62.5mW,0402","R62","RESC-0402","1.1.1.01.01.315","100R","1"
"RES,GEN,182K,1%,,0402","R63","RESC-0402","1.1.1.01.01.504","182K","1"
"RES,GEN,1M,5%,100mW,0603","R64, R98","RESC-0603","1.1.1.01.01.166-GJ","1M","2"
"RES,GEN,31.6K,1%,,0402","R69","RESC-0402","1.1.1.01.01.387","31.6K","1"
"RES,GEN,4.7K,5%,62.5mW,0402","R70, R155, R156, R313, R314","RESC-0402","1.1.1.01.01.311","4.7K","5"
"RES,GEN,0R,5%,62.5mW,0402, 通用厚膜电阻,0R,+/-5%,R0402,1/16W.","R73, R2105, R2114, R2115, R2117, R2118, R2120, R2121, R2122","RESC-0402","1.1.1.01.01.309, [NoParam]","0R, [NoParam]","9"
"RES,GEN,1MR,1%,62.5mW,0402","R78","RESC-0402","9","1MR","1"
"RES,GEN,4.3kΩ,1%,62.5mW,0402","R87, R127","RESC-0402","1.1.1.01.01.419, 1.1.1.01.01.385","4.3KΩ, 1.6KΩ","2"
"RES,GEN,4.7K,5%,100mW,0603","R94","RESC-0603","1.1.1.01.01.104-GJ","4.7K","1"
"RES,GEN,330R,5%,1W,2512","R97, R102","RESC-2512","1.1.1.01.01.211","330R","2"
"RES,GEN,100K,1%,100mW,0603","R105","RESC-0603","1.1.1.01.01.259","100K","1"
"RES,GEN,6.04K,1%,100mW,0603","R111","RESC-0603","1.1.1.01.01.121GJ","6.04K","1"
"RES,GEN,1M,1%,62.5mW,0603","R115","RESC-0603","1.1.1.01.01.301","1M","1"
"RES,GEN,1R,5%,100mW,0603","R119, R120","RESC-0603","1.1.1.01.01.063","1R","2"
"通用厚膜电阻,10K,+/-5%,R0402,1/16W.","R126, R1905","R0402","","","2"
"RES,GEN,45.3kΩ,1%,62.5mW,0402","R133","RESC-0402","1.1.1.01.01.472","45.3KΩ","1"
"RES,GEN,22R,1%,62.5mW,0402","R147, R148, R316, R318","RESC-0402","1.1.1.01.01.312","22R","4"
